iter	Logloss
0	0.674032381
1	0.6576528504
2	0.6434808065
3	0.6318057185
4	0.6208383328
5	0.6112939064
6	0.6027165991
7	0.5950735255
8	0.588866632
9	0.5822780015
10	0.5774491832
11	0.5721969101
12	0.5671689464
13	0.5636799852
14	0.5598863899
15	0.5558696517
16	0.5520311167
17	0.5490742099
18	0.546577254
19	0.54401025
20	0.5410913947
21	0.5386664311
22	0.5368165729
23	0.5347581258
24	0.5327746152
25	0.5310262461
26	0.5294623018
27	0.5281071686
28	0.5264718986
29	0.5244952205
30	0.5236455889
31	0.522054592
32	0.5211428003
33	0.5198679919
34	0.5185149695
35	0.5176375631
36	0.5168777553
37	0.5157057136
38	0.5146096639
39	0.5135518322
40	0.5124504497
41	0.511689642
42	0.5110582649
43	0.5100450952
44	0.5093247276
45	0.5084650415
46	0.5075351962
47	0.5067571681
48	0.5058612637
49	0.5051375631
50	0.5048034876
51	0.504610286
52	0.5035807847
53	0.5033965266
54	0.5026608273
55	0.5015629444
56	0.5005434976
57	0.5000669929
58	0.4991576454
59	0.4985545431
60	0.4976700263
