iter	Passed	Remaining
0	3	257
1	6	237
2	8	232
3	11	222
4	14	217
5	16	209
6	18	200
7	21	194
8	23	188
9	25	183
10	27	177
11	30	174
12	32	169
13	34	165
14	36	162
15	38	158
16	41	156
17	43	152
18	45	149
19	48	147
20	50	144
21	52	141
22	54	138
23	57	136
24	59	133
25	62	131
26	64	129
27	67	126
28	69	124
29	71	121
30	74	119
31	76	116
32	78	114
33	80	111
34	83	109
35	85	106
36	87	104
37	89	101
38	91	98
39	94	96
40	96	94
41	99	91
42	101	89
43	103	86
44	105	84
45	107	82
46	110	79
47	112	77
48	114	75
49	117	72
50	119	70
51	121	67
52	124	65
53	126	63
54	129	61
55	131	58
56	134	56
57	136	54
58	138	51
59	141	49
60	143	47
61	145	44
62	147	42
63	150	39
64	152	37
65	154	35
66	156	32
67	159	30
68	161	28
69	163	25
70	165	23
71	168	21
72	170	18
73	172	16
74	175	14
75	177	11
76	180	9
77	182	7
78	184	4
79	187	2
80	189	0
