feature,col,rank,MI,ANOVA_F,point_biserial,L1_coef,LGB_gain,perm,SHAP,consensus,rank_std,rk_MI,rk_ANOVA_F,rk_point_biserial,rk_L1_coef,rk_LGB_gain,rk_perm,rk_SHAP
Đóng phí BH ô tô,47,1,0.01671,135.63203,0.15091,1.39729,1760.61185,0.05229,0.75475,123.42857,2.1492,119,123,123,125,124,125,125
Tổng mức đóng phí BH khác,agg_total_contrib,2,0.02131,140.88493,0.15374,0.13323,938.69399,0.01447,0.28097,119.85714,7.53721,121,124,124,103,121,123,123
Đóng phí BH cháy nổ,59,3,0.01179,52.38191,0.09445,0.2199,638.2952,0.02313,0.20756,114.28571,7.93125,112,104,104,117,118,124,121
Phân nhóm KH (subtype),1,4,0.00688,70.31532,0.10926,0.0386,1988.04894,0.00474,0.16314,107.57143,18.93724,99,111,111,69,125,118,120
Thu nhập × sức mua,ix_income_x_pp,5,0.01049,70.5453,0.10944,0.05109,279.93195,0.01241,0.13267,107.28571,13.70784,106,112,112,79,105,122,115
Số HĐ BH ô tô,68,6,0.01179,123.60717,0.14421,0.08792,136.63032,0.00329,0.03125,101.42857,21.05435,111,121,121,91,74,117,75
Tỉ trọng phí BH xe,ratio_vehicle_share,7,0.0314,6.23446,0.03271,0.79698,843.53058,0.01002,0.31009,101.0,36.94591,125,47,47,124,119,121,124
Nhóm KH chính (main type),5,8,0.00933,75.84611,0.11342,0.22397,997.04228,-0.00749,0.22554,99.28571,43.36556,104,113,113,119,122,2,122
Chỉ số học vấn,idx_education,9,0.00582,49.08807,0.09145,0.0,463.31868,0.00283,0.15271,96.14286,31.79323,95,101,101,27,114,116,119
Thu nhập TB,42,10,0.00651,47.72457,0.09019,0.05422,211.21694,0.00045,0.06926,93.14286,5.87164,97,96,96,82,93,89,99
Đã kết hôn,10,11,0.00305,28.87593,0.07026,0.16117,219.0622,0.00204,0.05389,93.14286,13.37197,77,83,83,110,95,111,93
Sung túc × đã có BH,ix_affluence_x_owns,12,0.02374,43.0485,0.08569,0.0,469.88026,0.00016,0.12984,92.85714,32.26158,123,93,93,27,115,85,114
Đóng phí BH TN bên thứ ba (cá nhân),44,13,0.00468,54.66404,0.09646,0.101,150.71754,0.00111,0.02925,91.71429,13.88902,90,106,106,94,77,99,70
Chỉ số sung túc (affluence),idx_affluence,14,0.02357,62.59208,0.10315,0.0,923.39143,-0.00018,0.09817,89.85714,39.78873,122,107,107,27,120,38,108
Tổng phí BH xe cộ,dom_vehicle_contrib,15,0.01746,98.51202,0.12901,0.00767,74.9388,0.00069,0.02075,88.71429,28.39433,120,114,114,56,62,94,61
Đóng phí BH thuyền,61,16,0.00309,48.98763,0.09136,0.04171,205.16984,0.00223,0.02477,88.42857,17.81252,78,100,100,72,91,114,64
Số loại BH có đóng phí,agg_n_contrib_types,17,0.01228,113.66138,0.1384,0.0,41.55292,0.0013,0.04103,88.28571,35.49396,115,116,116,27,53,104,86
Học vấn thấp,18,18,0.00474,48.12659,0.09056,0.22319,265.31129,-0.00201,0.05856,87.57143,33.97478,91,98,98,118,100,13,95
Tổng phí BH nhà/tài sản,dom_property_contrib,19,0.01117,52.05363,0.09415,0.0,120.5953,0.00052,0.08528,87.28571,29.64633,110,103,103,27,71,91,106
Phí/HĐ trung bình,ratio_contrib_per_policy,20,0.03103,8.01089,0.03707,0.14712,1060.23685,-0.001,0.15248,86.42857,40.69339,124,53,53,107,123,27,118
Địa vị cao,19,21,0.0028,24.75614,0.06508,0.14626,184.8408,0.00129,0.03131,86.0,13.06395,72,80,80,106,86,102,76
Chỉ số tôn giáo,idx_religiosity,22,0.0033,10.46213,0.04236,0.00853,526.38266,0.00738,0.10721,85.57143,28.99918,79,58,58,58,117,120,109
Tầng lớp D,29,23,0.00266,23.2436,0.06307,0.04346,108.58697,0.00603,0.13834,85.57143,22.2625,66,78,78,73,69,119,116
Có 1 ô tô,32,24,0.00347,28.63693,0.06997,0.12876,183.40568,9e-05,0.03447,85.0,7.61577,81,82,82,102,85,82,81
Tổng số HĐ BH khác,agg_total_number,25,0.01225,104.2621,0.13266,0.0,104.8921,0.00108,0.01175,84.0,35.25621,113,115,115,27,67,98,53
Tổng phí BH giải trí,dom_recreation_contrib,26,0.00289,51.61003,0.09375,0.0,271.98629,0.00089,0.03409,83.42857,27.26327,75,102,102,27,102,96,80
Tuổi × nhóm KH chính,ix_age_x_maintype,27,0.00744,19.52086,0.05782,0.12366,394.51463,-0.00199,0.08039,81.71429,33.83644,101,71,71,101,111,14,103
Chỉ số mức thu nhập,idx_income_level,28,0.00722,32.09129,0.07405,0.04498,428.81169,-0.00592,0.11759,81.57143,37.19703,100,85,85,76,112,3,110
LĐ phổ thông,24,29,0.00212,17.42294,0.05463,0.06686,300.19682,0.00069,0.0411,81.57143,16.88053,60,68,68,86,107,95,87
Sở hữu ≥3 loại BH,flag_da_dang_bh,30,0.00999,133.28825,0.14963,0.21133,0.5045,-0.00016,0.00143,81.57143,43.70682,105,122,122,116,30,39,37
Sức mua × có BH xe,ix_pp_x_car,31,0.01545,191.3437,0.17841,0.0,136.09843,-0.00487,0.06229,81.42857,48.35238,117,125,125,27,73,6,97
Tầng lớp A,25,32,0.00395,23.56092,0.0635,0.00381,160.69933,0.00209,0.02575,79.42857,17.91514,84,79,79,55,80,113,66
Học vấn cao,16,33,0.00359,41.99026,0.08464,0.11545,178.79486,-0.00056,0.02932,79.28571,21.99026,82,92,92,100,84,34,71
Không ô tô,34,34,0.00426,34.2613,0.0765,0.04849,207.49658,-0.00506,0.12814,78.85714,34.67193,89,88,88,78,92,4,113
Thu nhập <30k,37,35,0.00494,37.26671,0.07977,0.0,330.77596,-0.00138,0.14257,78.28571,38.36975,93,91,91,27,108,21,117
Quản lý cấp trung,22,36,0.00195,13.28142,0.04772,0.18473,442.29645,-0.00114,0.08386,77.14286,33.3138,58,63,63,112,113,26,105
Nhà thuê,30,37,0.00407,36.68448,0.07914,0.07584,158.86198,-0.00178,0.0256,74.0,25.8457,87,90,90,88,79,19,65
Số HĐ BH cháy nổ,80,38,0.00301,22.01064,0.06138,0.13741,18.86706,0.00018,0.01156,73.42857,20.48461,76,75,75,105,44,87,52
Mức BH liên quan xe,agg_car_related,39,0.01584,116.26683,0.13995,0.0,38.73674,-0.00052,0.00633,73.28571,42.51946,118,118,118,27,51,35,46
Tầng lớp C,28,40,0.00275,10.43696,0.04231,0.27428,279.03653,-0.00093,0.03086,72.85714,30.86761,70,57,57,120,104,28,74
Thu nhập 75-122k,40,41,0.00228,19.59061,0.05792,0.05989,139.55541,-0.0007,0.08307,72.0,21.70253,65,72,72,84,75,32,104
Không tôn giáo,9,42,0.00185,10.14132,0.04171,0.02226,155.52614,0.00139,0.05026,71.85714,19.42017,56,56,56,63,78,105,89
Tầng lớp B1,26,43,0.00157,4.81892,0.02876,0.00046,222.63751,0.00239,0.05928,71.42857,29.80971,51,44,44,54,96,115,96
Nông dân,21,44,0.00211,17.02238,0.054,0.13543,69.69619,0.00017,0.01783,71.28571,17.19219,59,65,65,104,61,86,59
Số loại BH xe cộ,dom_vehicle_ntypes,45,0.0067,67.55339,0.10712,0.0,12.30042,0.0,0.0023,69.64286,35.6963,98,110,110,27,40,61,41
Có BH thuyền,flag_thuyen,46,0.00273,66.67541,0.10643,0.17121,0.0,0.0,0.0,69.64286,42.73729,68,109,109,111,14,61,14
Số loại BH trách nhiệm,dom_liability_ntypes,47,0.00387,46.47126,0.089,0.0571,1.70938,0.0,0.00065,69.35714,25.85007,83,94,94,83,35,61,35
Tần suất Phân nhóm KH (subtype),freq_1,48,0.00909,1.06775,0.01354,0.02381,474.53068,-0.00048,0.12712,69.28571,40.52865,103,27,27,64,116,36,112
Thu nhập 45-75k,39,49,0.00336,19.43567,0.05769,0.0,266.40749,-0.00092,0.08616,69.14286,31.50359,80,70,70,27,101,29,107
Chỉ số gia đình,idx_family,50,0.00504,21.15015,0.06017,0.0,374.30372,-0.00764,0.07743,68.85714,40.48221,94,74,74,27,110,1,102
Hạng sức mua,43,51,0.00607,54.06578,0.09594,0.0,80.31526,-0.0019,0.02713,68.42857,36.59625,96,105,105,27,63,15,68
Tin Lành,7,52,0.00188,6.29354,0.03287,0.0,276.76451,0.0016,0.03526,67.42857,30.3911,57,48,48,27,103,107,82
Tổng phí BH trách nhiệm,dom_liability_contrib,53,0.00481,48.30343,0.09073,0.0,90.49757,-0.00078,0.0168,67.28571,30.6959,92,99,99,27,65,31,58
BHYT quốc gia,35,54,0.00224,19.90223,0.05838,0.0,201.54481,-9e-05,0.06888,66.71429,24.83757,64,73,73,27,89,43,98
Số loại BH đang sở hữu,agg_n_number_types,55,0.01228,113.66138,0.1384,0.0,0.0,0.0,0.0,66.5,48.897,115,116,116,27,14,61,14
Có HĐ ô tô (≥1),flag_so_hd_oto,56,0.01078,119.9841,0.14212,0.0,0.0,0.0,0.0,66.42857,48.94762,108,119,119,27,14,61,14
